date,production
07/07/2023,458128
06/30/2023,452182
06/23/2023,453690
06/16/2023,463293
06/09/2023,467124
06/02/2023,459205
05/26/2023,459657
05/19/2023,455168
05/12/2023,467624
05/05/2023,462854
04/28/2023,459633
04/21/2023,460914
04/14/2023,465968
04/7/2023,470549
03/31/2023,469952
03/24/2023,473691
03/17/2023,481180
03/10/2023,480063
03/3/2023,478513
02/24/2023,480207
02/17/2023,479041
02/10/2023,471394
02/3/2023,455111
01/27/2023,452688
01/20/2023,448548
01/13/2023,448015
01/6/2023,439607
12/30/2022,420646
12/23/2022,418952
12/16/2022,418234
12/9/2022,424129
12/2/2022,413898
11/25/2022,419084
11/18/2022,431665
11/11/2022,435355
11/4/2022,440755
10/28/2022,436830
10/21/2022,439945
10/14/2022,437357
10/7/2022,439082
09/30/2022,429203
09/23/2022,430559
09/16/2022,430774
09/9/2022,429633
09/2/2022,427191
08/26/2022,418346
08/19/2022,421672
08/12/2022,424954
08/5/2022,432010
07/29/2022,426553
07/22/2022,422086
07/15/2022,426609
07/8/2022,427054
07/1/2022,423800
06/24/2022,415566
06/17/2022,418328
06/10/2022,418714
06/3/2022,416758
05/27/2022,414733
05/20/2022,419801
05/13/2022,420820
05/6/2022,424214
04/29/2022,415727
04/22/2022,414424
04/15/2022,413733
04/8/2022,421753
04/1/2022,412371
03/25/2022,409950
03/18/2022,413399
03/11/2022,415907
03/4/2022,411562
02/25/2022,413425
02/18/2022,416022
02/11/2022,411508
02/4/2022,410387
01/28/2022,415143
01/21/2022,416190
01/14/2022,413813
01/7/2022,413298
12/31/2021,417851
12/24/2021,419995
12/17/2021,423571
12/10/2021,428286
12/3/2021,432870
11/26/2021,433111
11/19/2021,434020
11/12/2021,433003
11/5/2021,435104
10/29/2021,434102
10/22/2021,430812
10/15/2021,426544
10/8/2021,426975
10/1/2021,420887
09/24/2021,418542
09/17/2021,413964
09/10/2021,417445
09/3/2021,423867
08/27/2021,425395
08/20/2021,432564
08/13/2021,435544
08/6/2021,438777
07/30/2021,439225
07/23/2021,435598
07/16/2021,439687
07/9/2021,437580
07/2/2021,445476
06/25/2021,452342
06/18/2021,459060
06/11/2021,466674
06/4/2021,474029
05/28/2021,479270
05/21/2021,484349
05/14/2021,486011
05/7/2021,484691
04/30/2021,485117
04/23/2021,493107
04/16/2021,493017
04/9/2021,492423
04/2/2021,498313
03/26/2021,501835
03/19/2021,502711
03/12/2021,500799
03/5/2021,498403
02/26/2021,484605
02/19/2021,463042
02/12/2021,461757
02/5/2021,469014
01/29/2021,475659
01/22/2021,476653
01/15/2021,486563
01/8/2021,482211
01/1/2021,485459
12/25/2020,493469
12/18/2020,499534
12/11/2020,500096
12/4/2020,503231
11/27/2020,488042
11/20/2020,488721
11/13/2020,489475
11/6/2020,488706
10/30/2020,484429
10/23/2020,492427
10/16/2020,488107
10/9/2020,489109
10/2/2020,492927
09/25/2020,492426
09/18/2020,494406
09/11/2020,496045
09/4/2020,500434
08/28/2020,498401
08/21/2020,507763
08/14/2020,512452
08/7/2020,514084
07/31/2020,518596
07/24/2020,525969
07/17/2020,536580
07/10/2020,531688
07/3/2020,539181
06/26/2020,533527
06/19/2020,540722
06/12/2020,539280
06/5/2020,538065
05/29/2020,532345
05/22/2020,534422
05/15/2020,526494
05/8/2020,531476
05/1/2020,532221
04/24/2020,527631
04/17/2020,518640
04/10/2020,503618
04/3/2020,484370
03/27/2020,469193
03/20/2020,455360
03/13/2020,453737
03/6/2020,451783
02/28/2020,444119
02/21/2020,443335
02/14/2020,442883
02/7/2020,442468
01/31/2020,435009
01/24/2020,431654
01/17/2020,428106
01/10/2020,428511
01/3/2020,431060
12/27/2019,429896
12/20/2019,441359
12/13/2019,446833
12/6/2019,447918
11/29/2019,447096
11/22/2019,451952
11/15/2019,450380
11/8/2019,449001
11/1/2019,446782
10/25/2019,438853
10/18/2019,433151
10/11/2019,434850
10/4/2019,425569
09/27/2019,422642
09/20/2019,419538
09/13/2019,417126
09/6/2019,416068
08/30/2019,422980
08/23/2019,427751
08/16/2019,437778
08/9/2019,440510
08/2/2019,438930
07/26/2019,436545
07/19/2019,445041
07/12/2019,455876
07/5/2019,458992
06/28/2019,468491
06/21/2019,469576
06/14/2019,482364
06/7/2019,485470
05/31/2019,483264
05/24/2019,476493
05/17/2019,476775
05/10/2019,472035
05/3/2019,466604
04/26/2019,470567
04/19/2019,460633
04/12/2019,455154
04/5/2019,456550
03/29/2019,449521
03/22/2019,442283
03/15/2019,439483
03/8/2019,449072
03/1/2019,452934
02/22/2019,445865
02/15/2019,454512
02/8/2019,450840
02/1/2019,447207
01/25/2019,445944
01/18/2019,445025
01/11/2019,437055
01/4/2019,439738
12/28/2018,441418
12/21/2018,441411
12/14/2018,441457
12/7/2018,441954
11/30/2018,443162
11/23/2018,450485
11/16/2018,446908
11/9/2018,442057
11/2/2018,431787
10/26/2018,426004
10/19/2018,422787
10/12/2018,416441
10/5/2018,409951
09/28/2018,403964
09/21/2018,395989
09/14/2018,394137
09/7/2018,396194
08/31/2018,401490
08/24/2018,405792
08/17/2018,408358
08/10/2018,414194
08/3/2018,407389
07/27/2018,408740
07/20/2018,404937
07/13/2018,411084
07/6/2018,405248
06/29/2018,417881
06/22/2018,416636
06/15/2018,426527
06/8/2018,432441
06/1/2018,436584
05/25/2018,434512
05/18/2018,438132
05/11/2018,432354
05/4/2018,433758
04/27/2018,435955
04/20/2018,429737
04/13/2018,427567
04/6/2018,428638
03/30/2018,425332
03/23/2018,429949
03/16/2018,428306
03/9/2018,430928
03/2/2018,425906
02/23/2018,423498
02/16/2018,420479
02/9/2018,422095
02/2/2018,420254
01/26/2018,418359
01/19/2018,411583
01/12/2018,412654
01/5/2018,419515
12/29/2017,424463
12/22/2017,431882
12/15/2017,436491
12/8/2017,442986
12/1/2017,448103
11/24/2017,453713
11/17/2017,457142
11/10/2017,458997
11/3/2017,457143
10/27/2017,454906
10/20/2017,457341
10/13/2017,456485
10/6/2017,462216
09/29/2017,464963
09/22/2017,470986
09/15/2017,472832
09/8/2017,468241
09/1/2017,462353
08/25/2017,457773
08/18/2017,463165
08/11/2017,466492
08/4/2017,475437
07/28/2017,481888
07/21/2017,483415
07/14/2017,490623
07/7/2017,495350
06/30/2017,502914
06/23/2017,509213
06/16/2017,509095
06/9/2017,511546
06/2/2017,513207
05/26/2017,509912
05/19/2017,516340
05/12/2017,520772
05/5/2017,522525
04/28/2017,527772
04/21/2017,528702
04/14/2017,532343
04/7/2017,533377
03/31/2017,535543
03/24/2017,533977
03/17/2017,533110
03/10/2017,528156
03/3/2017,528393
02/24/2017,520184
02/17/2017,518683
02/10/2017,518119
02/3/2017,508592
01/27/2017,494762
01/20/2017,488296
01/13/2017,485456
01/6/2017,483109
12/30/2016,479012
12/23/2016,486063
12/16/2016,485449
12/9/2016,483193
12/2/2016,485756
11/25/2016,488145
11/18/2016,489029
11/11/2016,490284
11/4/2016,485010
10/28/2016,482578
10/21/2016,468158
10/14/2016,468711
10/7/2016,473958
09/30/2016,469108
09/23/2016,472084
09/16/2016,473966
09/9/2016,480166
09/2/2016,480725
08/26/2016,495238
08/19/2016,492962
08/12/2016,490461
08/5/2016,492969
07/29/2016,491914
07/22/2016,490501
07/15/2016,488830
07/8/2016,491172
07/1/2016,493718
06/24/2016,495941
06/17/2016,499994
06/10/2016,500911
06/3/2016,501844
05/27/2016,504205
05/20/2016,505571
05/13/2016,509797
05/6/2016,508487
04/29/2016,512095
04/22/2016,509311
04/15/2016,507312
04/8/2016,505232
04/1/2016,498598
03/25/2016,503816
03/18/2016,501517
03/11/2016,492160
03/4/2016,490843
02/26/2016,486699
02/19/2016,476325
02/12/2016,472823
02/5/2016,470676
01/29/2016,471344
01/22/2016,463552
01/15/2016,455169
01/8/2016,451190
01/1/2016,450956
12/25/2015,455106
12/18/2015,452477
12/11/2015,458354
12/4/2015,453553
11/27/2015,457212
11/20/2015,456035
11/13/2015,455074
11/6/2015,454822
10/30/2015,450841
10/23/2015,447994
10/16/2015,444618
10/9/2015,436590
10/2/2015,429028
09/25/2015,425988
09/18/2015,422033
09/11/2015,423958
09/4/2015,426062
08/28/2015,423657
08/21/2015,418990
08/14/2015,424442
08/7/2015,421822
07/31/2015,423226
07/24/2015,427633
07/17/2015,431836
07/10/2015,429368
07/3/2015,433714
06/26/2015,433223
06/19/2015,430837
06/12/2015,435771
06/5/2015,438447
05/29/2015,444464
05/22/2015,446412
05/15/2015,449214
05/8/2015,451888
05/1/2015,454079
04/24/2015,458181
04/17/2015,456271
04/10/2015,450956
04/3/2015,449662
03/27/2015,437983
03/20/2015,433217
03/13/2015,425047
03/6/2015,415425
02/27/2015,410246
02/20/2015,399943
02/13/2015,391516
02/6/2015,383800
01/30/2015,379473
01/23/2015,373140
01/16/2015,364266
01/9/2015,354195
01/2/2015,348806
12/26/2014,352979
12/19/2014,354733
12/12/2014,347466
12/5/2014,348313
11/28/2014,347015
11/21/2014,350704
11/14/2014,348758
11/7/2014,346150
10/31/2014,348935
10/24/2014,348475
10/17/2014,346414
10/10/2014,339303
10/3/2014,330380
09/26/2014,325465
09/19/2014,326828
09/12/2014,331101
