date,production
04/7/2023,369575
03/31/2023,371175
03/24/2023,371579
03/17/2023,371579
03/10/2023,371579
03/3/2023,371579
02/24/2023,371579
02/17/2023,371579
02/10/2023,371579
02/3/2023,371579
01/27/2023,371579
01/20/2023,371579
01/13/2023,371579
01/6/2023,371580
12/30/2022,372380
12/23/2022,375128
12/16/2022,378624
12/9/2022,382271
12/2/2022,387019
11/25/2022,389116
11/18/2022,390518
11/11/2022,392119
11/4/2022,396219
10/28/2022,399792
10/21/2022,401718
10/14/2022,405135
10/7/2022,408699
09/30/2022,416389
09/23/2022,422583
09/16/2022,427158
09/9/2022,434057
09/2/2022,442471
08/26/2022,449998
08/19/2022,453065
08/12/2022,461156
08/5/2022,464558
07/29/2022,469855
07/22/2022,474545
07/15/2022,480149
07/8/2022,485147
07/1/2022,492028
06/24/2022,497868
06/17/2022,504818
06/10/2022,511612
06/3/2022,519323
05/27/2022,526592
05/20/2022,532013
05/13/2022,537984
05/6/2022,542994
04/29/2022,549985
04/22/2022,553070
04/15/2022,555980
04/8/2022,560681
04/1/2022,564580
03/25/2022,568322
03/18/2022,571323
03/11/2022,575513
03/4/2022,577496
02/25/2022,580020
02/18/2022,582384
02/11/2022,584828
02/4/2022,587515
01/28/2022,588912
01/21/2022,590782
01/14/2022,592034
01/7/2022,593382
12/31/2021,593682
12/24/2021,595028
12/17/2021,596381
12/10/2021,598917
12/3/2021,600867
11/26/2021,602556
11/19/2021,604505
11/12/2021,606147
11/5/2021,609396
10/29/2021,612541
10/22/2021,614186
10/15/2021,615276
10/8/2021,616970
10/1/2021,617770
09/24/2021,618689
09/17/2021,619569
09/10/2021,620773
09/3/2021,621302
08/27/2021,621302
08/20/2021,621302
08/13/2021,621302
08/6/2021,621304
07/30/2021,621304
07/23/2021,621304
07/16/2021,621304
07/9/2021,621304
07/2/2021,621304
06/25/2021,622487
06/18/2021,623888
06/11/2021,625593
06/4/2021,626484
05/28/2021,627833
05/21/2021,628481
05/14/2021,630127
05/7/2021,632028
04/30/2021,633427
04/23/2021,634475
04/16/2021,635924
04/9/2021,636667
04/2/2021,637773
03/26/2021,637773
03/19/2021,637773
03/12/2021,637773
03/5/2021,637773
